history:PRFTA_275_M01/PM_01_powerReal
01-Jan-21 12:00 AM PST  to  31-Dec-21 11:59 PM PST

Timestamp,Trend Flags,Status,Value (kW)
"04-Jan-21 3:00:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 3:15:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 3:30:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 3:45:00 AM PST","{ }","{ok}","3.0 kW"
"04-Jan-21 4:00:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 4:15:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 4:30:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 4:45:00 AM PST","{ }","{ok}","3.5 kW"
"04-Jan-21 5:00:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 5:15:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 5:30:00 AM PST","{ }","{ok}","3.0 kW"
"04-Jan-21 5:45:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 6:00:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 6:15:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 6:30:00 AM PST","{ }","{ok}","3.6 kW"
"04-Jan-21 6:45:00 AM PST","{ }","{ok}","3.8 kW"
"04-Jan-21 7:00:00 AM PST","{ }","{ok}","3.7 kW"
"04-Jan-21 7:15:00 AM PST","{ }","{ok}","31.6 kW"
"04-Jan-21 7:30:00 AM PST","{ }","{ok}","31.4 kW"
"04-Jan-21 7:45:00 AM PST","{ }","{ok}","32.1 kW"
"04-Jan-21 8:00:00 AM PST","{ }","{ok}","32.5 kW"
"04-Jan-21 8:15:00 AM PST","{ }","{ok}","32.3 kW"
"04-Jan-21 8:30:00 AM PST","{ }","{ok}","31.2 kW"
"04-Jan-21 8:45:00 AM PST","{ }","{ok}","31.7 kW"
"04-Jan-21 9:00:00 AM PST","{ }","{ok}","5.9 kW"
"04-Jan-21 9:15:00 AM PST","{ }","{ok}","3.5 kW"
"04-Jan-21 9:30:00 AM PST","{ }","{ok}","5.2 kW"
"04-Jan-21 9:45:00 AM PST","{ }","{ok}","3.4 kW"
"04-Jan-21 10:00:00 AM PST","{ }","{ok}","4.9 kW"
"04-Jan-21 10:15:00 AM PST","{ }","{ok}","5.2 kW"
"04-Jan-21 10:30:00 AM PST","{ }","{ok}","3.5 kW"
