history:PRFTA_282_M01/PM_01_powerReal
01-Jan-21 12:00 AM PST  to  31-Dec-21 11:59 PM PST

Timestamp,Trend Flags,Status,Value (kW)
"01-Jan-21 12:00:00 AM PST","{ }","{ok}","30.4 kW"
"01-Jan-21 12:15:00 AM PST","{ }","{ok}","29.0 kW"
"01-Jan-21 12:30:00 AM PST","{ }","{ok}","28.9 kW"
"01-Jan-21 12:45:00 AM PST","{ }","{ok}","29.0 kW"
"01-Jan-21 1:00:00 AM PST","{ }","{ok}","28.7 kW"
"01-Jan-21 1:15:00 AM PST","{ }","{ok}","28.4 kW"
"01-Jan-21 1:30:00 AM PST","{ }","{ok}","31.7 kW"
"01-Jan-21 1:45:00 AM PST","{ }","{ok}","30.1 kW"
"01-Jan-21 2:00:00 AM PST","{ }","{ok}","27.4 kW"
"01-Jan-21 2:15:00 AM PST","{ }","{ok}","27.2 kW"
"01-Jan-21 2:30:00 AM PST","{ }","{ok}","28.0 kW"
"01-Jan-21 2:45:00 AM PST","{ }","{ok}","25.8 kW"
"01-Jan-21 3:00:00 AM PST","{ }","{ok}","25.8 kW"
"01-Jan-21 3:15:00 AM PST","{ }","{ok}","25.7 kW"
"01-Jan-21 3:30:00 AM PST","{ }","{ok}","27.0 kW"
"01-Jan-21 3:45:00 AM PST","{ }","{ok}","27.3 kW"
"01-Jan-21 4:00:00 AM PST","{ }","{ok}","31.5 kW"
"01-Jan-21 4:15:00 AM PST","{ }","{ok}","31.0 kW"
"01-Jan-21 4:30:00 AM PST","{ }","{ok}","28.4 kW"
"01-Jan-21 4:45:00 AM PST","{ }","{ok}","25.3 kW"
"01-Jan-21 5:00:00 AM PST","{ }","{ok}","25.4 kW"
"01-Jan-21 5:15:00 AM PST","{ }","{ok}","23.5 kW"
"01-Jan-21 5:30:00 AM PST","{ }","{ok}","25.0 kW"
"01-Jan-21 5:45:00 AM PST","{ }","{ok}","26.8 kW"
"01-Jan-21 6:00:00 AM PST","{ }","{ok}","28.3 kW"
"01-Jan-21 6:15:00 AM PST","{ }","{ok}","25.2 kW"
"01-Jan-21 6:30:00 AM PST","{ }","{ok}","24.9 kW"
"01-Jan-21 6:45:00 AM PST","{ }","{ok}","24.1 kW"
"01-Jan-21 7:00:00 AM PST","{ }","{ok}","26.6 kW"
"01-Jan-21 7:15:00 AM PST","{ }","{ok}","24.0 kW"
"01-Jan-21 7:30:00 AM PST","{ }","{ok}","25.2 kW"
"01-Jan-21 7:45:00 AM PST","{ }","{ok}","14.4 kW"
"01-Jan-21 8:00:00 AM PST","{ }","{ok}","14.4 kW"
"01-Jan-21 8:15:00 AM PST","{ }","{ok}","15.9 kW"
"01-Jan-21 8:30:00 AM PST","{ }","{ok}","12.9 kW"
