DateTime,Temperature_C
2025-07-01 10:55:00,-33.34495703125
2025-07-01 11:00:00,-33.748220703125
2025-07-01 11:05:00,-34.014203125
2025-07-01 11:10:00,-34.16864453125
2025-07-01 11:15:00,-34.297345703125
2025-07-01 11:20:00,-34.44320703125
2025-07-01 11:25:00,-34.537587890625005
2025-07-01 11:30:00,-34.589068359375
2025-07-01 11:35:00,-34.640548828125006
2025-07-01 11:40:00,-34.6662890625
2025-07-01 11:45:00,-34.6662890625
2025-07-01 11:50:00,-34.674869140625
2025-07-01 11:55:00,-34.674869140625
2025-07-01 12:00:00,-31.21709765625
2025-07-01 12:05:00,-29.56972265625
2025-07-01 12:10:00,-30.796673828125
2025-07-01 12:15:00,-32.015044921875
2025-07-01 12:20:00,-32.96743359375
2025-07-01 12:25:00,-33.602359375000006
2025-07-01 12:30:00,-34.0485234375
2025-07-01 12:35:00,-34.391726562500004
2025-07-01 12:40:00,-34.657708984375
2025-07-01 12:45:00,-34.8722109375
2025-07-01 12:50:00,-35.02665234375
2025-07-01 12:55:00,-35.189673828125
2025-07-01 13:00:00,-35.30121484375
2025-07-01 13:05:00,-35.421335937500004
2025-07-01 13:10:00,-35.507136718750004
2025-07-01 13:15:00,-34.949431640625
2025-07-01 13:20:00,-29.835705078125
2025-07-01 13:25:00,-29.5182421875
2025-07-01 13:30:00,-29.372380859375006
2025-07-01 13:35:00,-24.69623828125
2025-07-01 13:40:00,-20.672181640625002
2025-07-01 13:45:00,-18.20969921875
2025-07-01 13:50:00,-18.99906640625
2025-07-01 13:55:00,-20.998224609375
2025-07-01 14:00:00,-23.04886328125
2025-07-01 14:05:00,-24.86783984375
2025-07-01 14:10:00,-26.412253906250005
2025-07-01 14:15:00,-27.776486328125003
2025-07-01 14:20:00,-28.917636718750003
2025-07-01 14:25:00,-29.878605468750003
2025-07-01 14:30:00,-30.676552734375
2025-07-01 14:35:00,-31.328638671875
2025-07-01 14:40:00,-31.912083984375
2025-07-01 14:45:00,-32.409728515625
2025-07-01 14:50:00,-32.855892578125
2025-07-01 14:55:00,-33.233416015625004
2025-07-01 15:00:00,-33.602359375000006
2025-07-01 15:05:00,-33.89408203125
2025-07-01 15:10:00,-34.108583984375
2025-07-01 15:15:00,-33.9455625
2025-07-01 15:20:00,-33.147615234375
2025-07-01 15:25:00,-32.083685546875
2025-07-01 15:30:00,-30.933955078125003
2025-07-01 15:35:00,-29.70700390625
2025-07-01 15:40:00,-28.47147265625
2025-07-01 15:45:00,-27.313162109375003
2025-07-01 15:50:00,-26.180591796875
2025-07-01 15:55:00,-25.030861328125003
2025-07-01 16:00:00,-23.906871093750002
2025-07-01 16:05:00,-22.82578125
