date,description
1/1/21,New Year's Day
1/18/21,Martin Luther King
2/15/21,Washington's Birthday
5/31/21,Memorial Day
7/5/21,Independence Day
9/6/21,Labor Day
11/11/21,Veterans Day
11/25/21,Thanksgiving
11/26/21,Thanksgiving
12/24/21,Christmas
12/31/21,New Year's Day
1/17/22,Martin Luther King
2/21/22,Washington's Birthday
5/30/22,Memorial Day
7/4/22,Independence Day
9/5/22,Labor Day
11/11/22,Veterans Day
11/24/22,Thanksgiving
11/25/22,Thanksgiving
12/26/22,Christmas
